champ,cluster1,champ,cluster2,champ,cluster3,champ,cluster4,champ,cluster5,champ,cluster6,champ,cluster7,champ,cluster8,champ,cluster9,champ,cluster10,champ,cluster11,champ,cluster12,champ,cluster13,champ,cluster14,champ,cluster15,champ,cluster16,champ,cluster17
Ekko,3447,Wukong,4612,Miss Fortune,5981,Lee Sin,5374,Vex,5455,Ekko,5381,LeBlanc,5281,Warwick,3570,Riven,6445,Jhin,7590,Annie,26328,Lee Sin,6367,Fiora,3966,Yasuo,9672,Annie,1961,Samira,6404,Shen,3811
Neeko,2905,Shen,4439,Kai'Sa,5895,Lulu,4342,Alistar,5275,Leona,5166,Blitzcrank,4649,Blitzcrank,3562,Jinx,6397,Zac,6967,Twisted Fate,25810,Malphite,6353,Nilah,3927,Renekton,9655,Gnar,1906,Ultimate Ezreal,5268,Sivir,3474
Nilah,2633,Draven,4396,Ezreal,5740,Sona,4265,Zac,5138,Alistar,4952,Warwick,4588,Riven,3092,Miss Fortune,6376,Vex,6680,Alistar,25406,Gangplank,6157,Yasuo,3811,Warwick,9595,Lulu,1418,Garen,4679,Twisted Fate,3236
Syndra,2150,Garen,3795,Lucian,4858,Pantheon,4264,Jhin,4997,Fiddlesticks,4712,Camille,4207,Vi,3086,Ekko,5498,Pyke,6635,Fiora,23283,Alistar,2313,Vayne,3686,Ashe,9318,Ekko,1410,Leona,3503,Pantheon,2933
Alistar,2126,Jax,3631,Camille,2707,Viego,3752,Pyke,4917,Garen,4671,Shen,3533,Renekton,2690,Nasus,5179,Viego,6330,Viego,22624,Vi,2071,Twisted Fate,3537,Mordekaiser,8067,Alistar,1382,Sivir,3237,Ultimate Ezreal,2866
Rell,1901,Pyke,3554,Blitzcrank,2658,Malphite,3210,Malphite,4702,Urgot,4098,Pyke,3445,Lee Sin,2548,Vayne,4883,Alistar,5605,Neeko,21667,Ezreal,1889,Gangplank,3142,LeBlanc,6932,Nunu & Willump,1201,Fiddlesticks,3233,Lucian,2325
Kai'Sa,1834,LeBlanc,2622,Sylas,2630,Gangplank,3125,Nunu & Willump,3293,Aurelion Sol,3923,Jhin,1798,Jax,2453,Alistar,3325,Leona,4994,Ekko,19843,Draven,1714,Kayle,2058,Shen,5932,Poppy,961,Wukong,3168,Garen,2272
Annie,1756,Leona,2033,Ekko,2380,Alistar,2909,Aatrox,3082,Aatrox,3000,Zac,1563,LeBlanc,1005,Sylas,3082,Camille,3840,Sona,17771,Wukong,1642,Annie,1770,Twisted Fate,4144,Sona,859,Ekko,2857,Fiddlesticks,1503
Lux,1611,Riven,1867,Alistar,1939,Syndra,2041,Nasus,2306,Wukong,2897,Vex,1528,Ashe,939,Kai'Sa,2124,Garen,2712,Janna,12818,Jax,1509,Alistar,808,Blitzcrank,3181,Jinx,431,Alistar,2610,Ezreal,1490
Twisted Fate,1584,Rell,1043,Leona,1874,Annie,1155,Ekko,1318,Janna,2774,Riven,1031,Yasuo,933,Fiddlesticks,1393,Fiddlesticks,2157,Fiddlesticks,4421,Sona,1406,Fiddlesticks,527,Fiddlesticks,2651,Viego,425,Jax,2444,Samira,1335
Miss Fortune,1397,Fiddlesticks,832,Fiddlesticks,1535,Ekko,1065,Leona,1218,Bel'Veth,2570,Fiddlesticks,955,Mordekaiser,747,Gnar,1194,Ekko,2088,Syndra,4196,Vex,1351,Lee Sin,380,Pyke,2454,Twisted Fate,365,Urgot,2057,Urgot,711
Janna,1178,Blitzcrank,478,Garen,1457,Vi,872,Viego,1146,Jax,2101,Leona,780,Shen,546,Leona,1101,Wukong,2013,Leona,3949,Pyke,1159,Malphite,379,Ultimate Ezreal,1708,Shen,334,Shen,1837,Janna,615
Sona,804,Warwick,449,Vi,1085,LeBlanc,687,Fiddlesticks,777,Vi,2028,Viego,725,Fiddlesticks,521,Vi,887,Jax,1164,LeBlanc,2818,Garen,949,Ekko,378,Urgot,1519,Fiddlesticks,333,Vi,1804,Leona,603
Viego,642,Poppy,448,Viego,1034,Fiddlesticks,605,Lee Sin,709,Twisted Fate,1858,Sona,657,Camille,483,Garen,752,LeBlanc,1126,Nunu & Willump,1439,Zac,949,Urgot,365,Camille,890,Janna,313,Ezreal,1392,Aatrox,602
Fiddlesticks,449,Urgot,338,Riven,956,Janna,603,Gangplank,492,Miss Fortune,1596,Renekton,627,Leona,455,Urgot,613,Sylas,1009,Lux,1288,Jhin,925,Viego,301,Vi,710,LeBlanc,313,Ashe,1133,Ekko,326
Leona,427,Ekko,329,Wukong,880,Blitzcrank,518,Morgana,478,Morgana,1566,Urgot,609,Urgot,443,Janna,599,Aatrox,899,Urgot,1239,Leona,845,Bel'Veth,290,Riven,631,Neeko,254,Aatrox,1081,Riven,325
Shen,400,Miss Fortune,322,Aatrox,752,Twisted Fate,457,Aurelion Sol,446,Mordekaiser,1499,Vi,582,Aurelion Sol,346,Ezreal,397,Lucian,885,Vi,973,Yasuo,727,Janna,287,Janna,557,Syndra,248,Janna,1067,Alistar,272
Fiora,388,Samira,308,Jax,674,Nunu & Willump,429,Urgot,406,Nunu & Willump,1414,Alistar,573,Aatrox,289,Nunu & Willump,284,Urgot,871,Nilah,727,Miss Fortune,598,Neeko,236,Sivir,502,Leona,245,Aurelion Sol,922,Mordekaiser,252
Riven,308,Janna,270,Shen,634,Leona,411,Janna,322,Samira,1393,Lee Sin,573,Garen,251,Nilah,274,Shen,660,Aatrox,635,Ashe,545,Syndra,195,Leona,463,Pyke,215,Nunu & Willump,668,Miss Fortune,246
Ezreal,257,Alistar,268,Ultimate Ezreal,583,Morgana,369,Vi,243,Viego,1254,Twisted Fate,561,Ekko,240,Aatrox,267,Janna,510,Aurelion Sol,635,Nasus,545,Leona,162,Lee Sin,404,Fiora,188,Mordekaiser,623,Lee Sin,214
Vi,228,Aurelion Sol,228,Urgot,581,Aurelion Sol,283,Shen,131,Ultimate Ezreal,1213,Janna,521,Janna,238,Aurelion Sol,236,Vi,494,Mordekaiser,625,Renekton,536,Warwick,143,Aatrox,261,Garen,170,Blitzcrank,553,Jax,168
Jinx,191,Mordekaiser,214,Janna,532,Urgot,262,Syndra,126,Syndra,1139,Jax,490,Bel'Veth,223,Twisted Fate,217,Aurelion Sol,419,Garen,480,Fiddlesticks,498,Aatrox,130,Garen,226,Lee Sin,138,Renekton,542,Viego,165
Garen,189,Jhin,196,Rell,390,Fiora,262,Rammus,125,Jhin,1063,Mordekaiser,465,Alistar,221,Shen,186,Nunu & Willump,408,Lee Sin,480,Ultimate Ezreal,480,Aurelion Sol,126,Ekko,221,Aurelion Sol,136,Warwick,523,Aurelion Sol,148
Urgot,156,Zac,179,Morgana,344,Aatrox,244,Garen,120,Annie,1019,Annie,379,Sivir,191,Lucian,168,Annie,399,Jhin,391,Kai'Sa,463,Mordekaiser,122,Aurelion Sol,201,Morgana,136,Riven,511,Wukong,146
LeBlanc,154,Vex,168,Jinx,344,Nasus,222,Mordekaiser,117,Rammus,1009,Ekko,350,Pyke,180,Viego,119,Warwick,311,Miss Fortune,360,Fiora,456,Ultimate Ezreal,98,Alistar,179,Urgot,132,Draven,499,Ashe,145
Nunu & Willump,145,Vi,166,Lee Sin,308,Neeko,210,Annie,112,Draven,748,Bel'Veth,338,Twisted Fate,177,Syndra,104,Mordekaiser,307,Blitzcrank,286,Ekko,375,Nunu & Willump,78,Jax,176,Pantheon,118,Bel'Veth,493,Syndra,137
Aurelion Sol,133,Camille,143,Warwick,308,Poppy,169,Camille,109,Shen,689,Yasuo,338,Morgana,153,Fiora,100,Fiora,307,Morgana,236,Warwick,349,Shen,69,Samira,167,Wukong,110,Miss Fortune,484,Kai'Sa,126
Aatrox,120,Rammus,124,Rammus,304,Vex,165,Bel'Veth,91,Ezreal,666,Sylas,295,Ultimate Ezreal,151,Morgana,90,Morgana,307,Shen,227,Nunu & Willump,289,Morgana,60,Bel'Veth,127,Rell,106,Yasuo,484,Fiora,99
Lucian,85,Bel'Veth,98,Jhin,274,Warwick,112,LeBlanc,70,Neeko,636,Garen,293,Sona,134,Malphite,69,Blitzcrank,300,Warwick,220,Shen,263,Garen,54,Syndra,120,Aatrox,102,Twisted Fate,298,Annie,87
Mordekaiser,56,Morgana,97,Nilah,248,Mordekaiser,88,Fiora,65,Fiora,577,Aurelion Sol,282,Wukong,120,Rell,65,Syndra,270,Pyke,219,Urgot,259,Vi,54,Morgana,119,Lux,98,Morgana,248,Nilah,87
