,apiName,associatedTraits,composition,desc,effects,from,icon,id,incompatibleTraits,name,unique,icon_Lower
0,TFT7_Consumable_NeekosHelpDragon,[],[],TFT7_Consumable_Description_Dragonling,{},,ASSETS/Maps/Particles/TFT/TFT7_Consumable_Dragonling.TFT_Set7.png,,[],TFT7_Consumable_Name_Dragonling,FALSE,assets/maps/particles/tft/tft7_consumable_dragonling.tft_set7.png
1,TFT6_Augment_MercenaryPirates,['Set6_Mercenary'],[],Mercenary units have a @Chance@% chance to drop @Gold@ gold when they kill an enemy. Gain a Quinn.,"{'Gold': 1.0, '{9292a6c1}': 66.0}",,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Pirates1.png,,[],Pirates,FALSE,assets/maps/tft/icons/augments/hexcore/pirates1.png
2,TFT6_Augment_ScholarEmblem,['Set6_Scholar'],[],Gain a Scholar Emblem and a Zyra.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/ScholarEmblem2.png,,[],Scholar Crest,FALSE,assets/maps/tft/icons/augments/hexcore/scholaremblem2.png
3,TFT6_Augment_BreakEven2,[],[],Your 2 and 4-cost units gain @Stats@ Attack Damage and Ability Power.,{'{6a311cec}': 30.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T2.png,,[],Break Even II,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t2.png
4,TFT6_Augment_FourScore,[],[],Gain @NumChamps@ random 4-cost champions.,{'{78bc82ef}': 3.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Four-Score-I.png,,[],Four Score,FALSE,assets/maps/tft/icons/augments/hexcore/four-score-i.png
5,TFT6_Augment_BreakEven3,[],[],Your 2 and 4-cost units gain @Stats@ Attack Damage and Ability Power.,{'{6a311cec}': 40.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T3.png,,[],Break Even III,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t3.png
6,TFT6_Augment_BrawlerHPVeteran,['Set6_Bruiser'],[],TFT6_Augment_BrawlerHPVeteran_Description,{'{cafcfa4a}': 100.0},,ASSETS/Maps/Particles/TFT/Item_Icons/Augments/TFT6_Augment_BrawlerVeterans.png,,[],TFT6_Augment_BrawlerHPVeteran_Name,FALSE,assets/maps/particles/tft/item_icons/augments/tft6_augment_brawlerveterans.png
7,TFT6_Augment_SyndicateEmblem2,['Set6_Syndicate'],[],Gain 2 Syndicate Emblems.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/SyndicateEmblem3.png,,[],Syndicate Crown,FALSE,assets/maps/tft/icons/augments/hexcore/syndicateemblem3.png
8,TFT6_Augment_BreakEven1,[],[],Your 2 and 4-cost units gain @Stats@ Attack Damage and Ability Power.,{'{6a311cec}': 20.0},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Missing-T1.png,,[],Break Even I,FALSE,assets/maps/tft/icons/augments/hexcore/missing-t1.png
9,TFT6_Augment_HextechForAllUnits,['Set6_Hextech'],[],The Hextech trait grants its bonuses to all of your Champions. This does not increase your number of Hextech units. Gain a Sejuani.,{},,ASSETS/Maps/TFT/Icons/Augments/Hexcore/Hextech-Armory-I.png,,[],Hextech Unity,FALSE,assets/maps/tft/icons/augments/hexcore/hextech-armory-i.png
