Player_ID,Summoner_ID,Summoner_Name,Rank,LeaguePoints,Wins,Losses,Win_rate (%)
B_nPcxVEAyz7XVfmv6PXWg7vS9NbhUityvIHXr_tQ6DNRbM-gjVGmoe0szNJ1Tta35Okc2CCcOhvyA,OjRStKvJ7MCt1318QEoReC4of-0947xJ8sWygHfz_HRUeBFJwD5byiZK6A,쵸리네,Challenger,1433,111,66,62.71186441
p0XTn-SNsuKwKzsodw0ABV6eeakK6EfnPk_ApvZ-6iSnR9JLwpQQt-irBAEiYXfdtww-JCnPMvnDeA,0CY-1C65i6FNf0Gj9piF7t-6Tp4Vx4GXO_In1fMym1s3s82OtZftYmCVQw,Kanata Ch,Challenger,1373,97,52,65.10067114
DcqIHAqyb2JoiebX5OiTKTcGZVyaAoBOXQL_NZ4eXY-mS1Wk8SzYBcWCTFa0oFjC-X_D9pwe0dXQPw,C3ITYKgLidARjeTW3CHPmHo7kQ7GQJUzqm28ueYbsztt-eKy,무 법 탈 론,Challenger,1277,121,69,63.68421053
8dnwRLvYzviG-Kngrzg6eOyVJXCCrvtPmbeo_wbCAael7NZm9TY0SHaWe82lPyLnXzwPeWHdnLdHEg,psuBI1aHxk24PVhRON0rYyFzz9sOkatjuo0KEb7YoYlX78g,My Paradise,Challenger,1263,90,48,65.2173913
GMu4XXEWb_hZ65aA8Bg3iF4-qFZh0x9w_prNzF42gSIOd2nq69om7AS7dXzWeiYkEXYfEhYFDIti9A,dmMlxobwXDzLRZmnoux5jMy9eR-M9OaWiz2fWH4IQfMMOw,띵 땡,Challenger,1204,116,63,64.80446927
Wl9nZVEzmuhfvIFTHWXMn0l6xWuCc_D6KBfXevdwcY-igIqrFSIKrDDHadY9uS7_aMGn9Q003ny8VA,KVGiIyueBiFnNJenF0K4YSoIZGxWNq21jkrg90knTliMpgc,종범1,Challenger,1113,84,44,65.625
9NMb8jgJAX6hI4_BK0C4u_22MtXa_avL9fQwpSCz6r8YZ5RX-6A60sek-LJ4bVRLYDwCUjRKoKAoUg,hNpFDs65mGlohHDyuDWrIBi33US9xqN0DtLgx8yhztX_bxE,강선종,Challenger,1097,144,102,58.53658537
dQt0wA68XY8Sm2atQLx-K1OIzW-sHNcPp7mY4IK0iTnc9oeDKMWCqUogH79OEOlQhYDPJFOPwf0-1w,gsTxWRsK_UA6Y6Vq48jKzLvB3uR1biCkXWh67YHCS_0OPhU,이렇게 좋은 날,Challenger,1065,93,50,65.03496503
p5w3vlcn0wjVu-igK-7MOKmxRkqmWPEH1arleVrZuf3Apbgkr1u_y4zFZSIztbVeZJfNga-BzqfGGw,30bXF41p-hkJ7E2EF4xUBykQi7PHr2ShbDoO5JfPS3pQ67U,Nico1e,Challenger,1056,135,94,58.95196507
VrVTn5qpRgBV8j8C-xahl8qCWHw-JNY8j5zNJ5MklI8Ow857UtthEUNxHKVZdTNO-OFDTpqwG9JcUQ,YmgxFS1nuk1y8RR-4qWad9ILWrkjJ-45Md6OIWebspJvbz4,만디팬 안정현,Challenger,1050,146,105,58.16733068
jhLNr1p906jF-y5pxC90pwgggid6Ve4rhgZyAV2y5TU2wY4DUG66U8qNBP2ZE31zTVDSHyoljDNttw,#NAME?,incheonfist,Challenger,1012,88,60,59.45945946
wkfmlPCxmgNPzblxdZpCO8_y87loJfr-9n7s1GZWI6E6IS19lVmPEZHnaMjWiFhctm_bUAUsZHwTcw,XiFAFOj4ADAPHV5vGmJ52xE1spL2n7X6Yh-kkkkRR76INds,HooDBoY,Challenger,1008,106,74,58.88888889
owWbXymB8TrwaL8S4cg-xdAwvUulri2Dk40Oc7-WVZfkEC4eL9_u7TTJxuLQ5KpmU4kx9QS9cXmDFg,E3xCWDMgOFZ3qjjb0Ey75xqMF38B-4A09lJNg28sXQSqljTVKs8lYunYgw,MOSO,Challenger,1005,70,35,66.66666667
uEmUXObXEJiLI1o5rNetgbVhYsxX1A6oKfoV5QATn2JrN2YzuX9Qmi1Z7oh2XbaRB9eCdZDHuVQkiw,7jhZqeF_A94vsKguEzIYG2biwTL1nAoXbO3MeSM7Je_Hfxw,채수채수밭,Challenger,976,81,51,61.36363636
Pekp-T4eRXAntxaYmJ7gEwEksg995UZcU-JrCTVZjDdx4SkPGjbDYYveHr9-qrkc0ZXui5gb3LjxJg,9-MHrG4PT0UPBZTV7KGFZm3ARuVC2zVs-w50sbRvhwuVc3W9gFugH3b2tw,uuooy,Challenger,947,85,40,68
zTDy17Jie-LafpQF4GNA7XSugyotXVf69ANEfrhsGNsxaOCbRWnhZCj7I1Opi7SSo54YQ9eKIcDe4g,8XYUOHr-rpXObj5WAhmNCLqhXTIUMZw3_VO0zGcL65CY2TA25TZxonWJuA,리롤왕 베인,Challenger,945,67,27,71.27659574
yD6ykr0SLFFBHJ4ulLN8xHG3OguQsEBy-Aa5HUpFiKMy1O_lMYYdE50uAPqwc97MAS3zw5506c0X1A,7UHDe43DhjdKOHSOwU-8HnQR_UGBVkcivdI3j6SUgjQG9W8,찬란하고찬란하게,Challenger,922,94,65,59.11949686
